Type of crime,Year,Value
Attempted murder,2000,43
Causing bodily injuries,2000,5104
Murder,2000,551
Rape,2000,1210
Robbery,2000,1681
Attempted murder,2001,68
Causing bodily injuries,2001,4699
Murder,2001,608
Rape,2001,1354
Robbery,2001,1697
Attempted murder,2002,64
Causing bodily injuries,2002,4440
Murder,2002,516
Rape,2002,1418
Robbery,2002,1704
Attempted murder,2003,77
Causing bodily injuries,2003,4368
Murder,2003,565
Rape,2003,1471
Robbery,2003,1920
Attempted murder,2004,92
Causing bodily injuries,2004,4196
Murder,2004,565
Rape,2004,1718
Robbery,2004,1689
Attempted murder,2005,94
Causing bodily injuries,2005,4246
Murder,2005,497
Rape,2005,1887
Robbery,2005,1842
Attempted murder,2006,-
Causing bodily injuries,2006,5843
Murder,2006,606
Rape,2006,2454
Robbery,2006,-
Attempted murder,2007,-
Causing bodily injuries,2007,6806
Murder,2007,588
Rape,2007,3177
Robbery,2007,-
Attempted murder,2008,-
Causing bodily injuries,2008,6648
Murder,2008,654
Rape,2008,3494
Robbery,2008,-
Attempted murder,2009,-
Causing bodily injuries,2009,8302
Murder,2009,571
Rape,2009,3742
Robbery,2009,-
Attempted murder,2010,-
Causing bodily injuries,2010,7685
Murder,2010,487
Rape,2010,3382
Robbery,2010,-
Attempted murder,2011,-
Causing bodily injuries,2011,6048
Murder,2011,446
Rape,2011,3026
Robbery,2011,-
Attempted murder,2012,-
Causing bodily injuries,2012,6244
Murder,2012,602
Rape,2012,2964
Robbery,2012,-
Attempted murder,2013,-
Causing bodily injuries,2013,5699
Murder,2013,627
Rape,2013,2718
Robbery,2013,-
Attempted murder,2014,-
Causing bodily injuries,2014,5608
Murder,2014,510
Rape,2014,2296
Robbery,2014,-
Attempted murder,2015,-
Causing bodily injuries,2015,5516
Murder,2015,499
Rape,2015,2047
Robbery,2015,-
Attempted murder,2016,-
Causing bodily injuries,2016,5531
Murder,2016,456
Rape,2016,1886
Robbery,2016,-
Attempted murder,2017,-
Causing bodily injuries,2017,6995
Murder,2017,382
Rape,2017,1833
Robbery,2017,-
Attempted murder,2018,-
Causing bodily injuries,2018,4660
Murder,2018,323
Rape,2018,1648
Robbery,2018,-
Attempted murder,2019,-
Causing bodily injuries,2019,4712
Murder,2019,310
Rape,2019,1738
Robbery,2019,-
Attempted murder,2020,-
Causing bodily injuries,2020,4118
Murder,2020,253
Rape,2020,1582
Robbery,2020,-
Attempted murder,2021,-
Causing bodily injuries,2021,4063
Murder,2021,243
Rape,2021,1553
Robbery,2021,-
